_,Date,Feeling,今日のひとこと,感動・学び・気づき①,感動・学び・気づき②,感動・学び・気づき③
250114,2025/01/14,😆,出前授業はやっぱり楽しい！,子供の多様な発想に触れた。一つの物事を多面的に捉える発想、自分のビジネスにも活かしたい。,診断士の試験でよく使っていた多面的、という言葉、久しぶりに思い出した。勝ち方や王道に囚われ過ぎていたかもと思った。,ナビ、もう少しだけ賢くなっても良いんだよ。
250115,2025/01/15,😌,凪だなー。,凪、だな。凪。,積読だった本を読み進めることができた。本、といっても小説なんだけど。でもビジネス本も最近は読む気がしないな。あの類の本を読むと、無理に実践しようとして苦しくなる（それができていない自分にへこむ）。なので、新しく買うことはやめて、これはいいなと思った本を何度も読み返すようにしようかな。,AI、いろんなサービスがある。今日勉強したのはDify（Defiと読み方は同じだけど違う）。PowerAutomateっぽくて、それでいて、AIサービスのAPIが使えるというもの。StableDiffusionも使えるのかな。そのあたりは調べてみたい。
250116,2025/01/16,😌,アニメ、漫画、小説は尊い。,アニメを見始めると、何にもやらなくなるよね。イベントの準備とかやるべきことはあったんだけど、ついつい。だめだ。。,とはいえ、アニメを見るのは楽しい。今期も良きアニメがたくさんなのでうれしい限り。,さてさてそろそろ確定申告の準備をしなくては。パパっとやればすぐに終わるのに、やらないからずるずる・・
250117,2025/01/17,😤,あー、もう少しよく見ておけばよかった。,自分が情けなくなった。もう少しよく見てれば。逃した魚は大きいというか、積み上げてたものが簡単に崩れるということを思い知った。,会社の研修は楽だった。最後の終了テストもテキスト見ながら回答していいし、満点だった。途中、ほぼ聞いていないのに・・こういう形式の研修やセミナーはそのうちになくなるんだろうな。なので！そうじゃないセミナーを考えていく必要があるな。,明日はイベント。プログラミングの。前と同じ内容なので、準備時間はほぼ必要なし。人数も少ないので、より個人に寄り添って楽しくやりたい。とはいえ、想定外の事態には備えていきたい。
250118,2025/01/18,😌,イベントは楽しい,子供向けのイベント。依頼を受けて行ったイベントだけど、講師料などは無し。公共施設で「なかなか予算が」といわれるので、次回はやめたいなと思っていた。実施前は。でも実際にやると、子供たちは楽しそうだし、充実感が得られるし、別にやってもいいかなと思ってしまう。お金＜体験価値ってことなんだろうか。,,
250119,2025/01/19,😌,本を読んで終わったな。久しぶりにスタエフを聞かない、耳を休める日になった。,保護猫ちゃんが発情期かな。猫を飼ったことがないから、どう扱っていいのか迷う。,買い物をするスーパー、キャッシュレス決済できない店舗は使わない。今の時代に現金のみという状況は変えた方が良い。そう思うと、マルシェなどは現金のみが当たり前になっているが、変化が必要かもしれない。中国などは小さな店舗や屋台であってもキャッシュレス決済。参考にできるか。,"＄TRUMP,＄ELONはまったく追えておらず"
250120,2025/01/20,😣,今読んでる小説を読み切ったら、ちゃんとしたい・・・,ずっと小説を読んでしまった。得るものは、、、ないかな。月曜日だし今日から頑張ると意気込んでみたものの、ふたを開けたら、、という状態だった。,熱しやすく冷めやすい、がまた発動。ゲーム熱が収まってきてしまった。そこそこな投資もしているのでちゃんと形にしたいが・・年齢的なものもあって、反射神経を求められるようなゲームはなかなか厳しいかな。その現実に打ちひしがれて熱も冷めていく。,
250121,2025/01/21,😌,家計簿つけなくちゃ・・・,無理はしない。無理に出勤しない。いままでの２０年、よく無理をしてたなと思った。,熱が冷めるって、こんなにも急激に熱って冷めるものなのか。熱しやすく冷めやすい。ということは、常に新しい何かを追っかけるのがいいのか、それよりも周期的に追っかけるものを変えるのもいいな。,オフラインでの学びを実践できるのはいいなと改めて思った。やはりすぐに使えるっていう方が満足度が高くなる気がする。組織開発とかのセミナーってすぐには使えないから、工夫が必要なんだろうな
250122,2025/01/22,😣,タイミングって何事も重要だなと思った！,家計簿付けたり、確定申告の準備したり、やらないといけないことから逃げてる。それがわかってても楽な方に逃げたくなる。,,
250123,2025/01/23,😌,あと１日。明日が終わればお休み！,本来の目的を忘れ、やること、実績を作ることになると、うまくいかないんだろうな。,１つやりたかったことがやれた。時間にして３０分くらい。短時間で達成感が得られるのであれば、もっと早くやればいいと思った。,最近はSDGｓについてなかなか勉強できてなかった。久しぶりに世界の教育水準を調べたが、このあたりはずっと追っかけていきたい。
250124,2025/01/24,😊,ゲーム楽しい,早押しってなかなか大変。サバイバルですね。オロチトークンの２次販売開始からPCの前で張ってましたが、１回しか買えなかった。時間としては15分くらいチャレンジ。必ず値上がりすることはわかっているので元は取れていると思うけど、果たしてそれは有益だったのかどうか。他にチャレンジすべき事があるのではないかと思ってしまう。,海外プロジェクトのゲームナイトに参加。翻訳ソフトを使っているが、なんとなくの雰囲気は分かる。けど、それで本当に意味がわかるようになったりするのは、若いうちだけなんだろうな。,
250125,2025/01/25,😣,もやっとするね〜,補助金の成果報酬が振り込まれず焦る。交付申請が下りてからということだが、待てずフォローしてしまった。計画的に事業主へ還元することを行ったほうが良いと反省。,,
250126,2025/01/26,😊,頭痛が痛い・・・,プログラミングクラブを開催。今回はRobloxに取り組む子が２人もいた。毎回口頭では簡単には連絡していたが、実際に取り組んでくれると嬉しい。そして、１日で簡単なアスレチックゲームを作ってた。子どもの学びに力はすごい。そしてRobloxの可能性を感じることもできた。,開催レポートをClaudeを使って作成。一瞬。Projects機能を使ったが、こんなにも短時間でできるとは。もっと活用せねば。,
250127,2025/01/27,😌,明日こそ、確定申告の事業分の入力を終わらせねば。,久しぶりに会社へ出社した。何も変わらないオフィス。でもそこにいるだけで、息苦しくなる感じ。やっぱりいかなくても良い場所にはいきたくないよね。,猫が脱走劇を。すぐに確保できたので良かったけど、ものすごくひやっとした。対策を打たねば。,教育を受けた内容を実践。とは言っても承認する時のチェックに、テキストを用いて勉強しながら確認したくらいだけど。でも学んでるって感じがして楽しかった。
250128,2025/01/28,😊,明日の午前は何も会議ない。確定申告の準備を進めるか。,自分の不安定さに気づいた。というか音声配信の内容に一貫性がないなと。話下手だといったり、話を広げるためのテクニックを語ったり。聞いている人が迷うんじゃないかと思うが、そもそもそんなに私の配信を覚えている人もいないんだろうなと思ったり。,ラノベ読みが止まらない。一方で買った本が全然読めてない・・・,
250129,2025/01/29,😣,働く気がおきないので、せめて家事を全力で頑張るか。,時間を無駄にしてしまった。ずっとラノベを読んでて何もできなかった。また副業でバンバン働けるようになる日は来るのだろうか。まあ営業活動を何もしていないので、その前段階なんだが。,確定申告、なかなか進まない。２０２４年は売り上げが大幅減なので払う税金が減る。それは良いのだが、売り上げ減っていうのが良いのかどうか。,ゲーム熱は冷め中。NFTを購入して初期投資してるものは、継続的に楽しみたいけど、なかなかうまくできないとやりたくなくなる。。。
250130,2025/01/30,😊,今日はやりたいことがやれた１日だった！確定申告も事業分は終わったので、あとは仮想通貨分・・・,れんとんさんのジャーナリングのUdemy講座を受講した。Dailyログはほぼ習慣化できている。これが継続できるようならMonthlyログも開始したい。試しに２月になったら、Monthlyログを作ってみようかな。,↑とはいえ、Todoはやってないなー。タスクリストを書き始めるとそれだけで満足してしまいそう。それを消化することに主眼をおいてしまいそう。なので引き続きマインドフルネスな感じでやっていこう。,学校教育における外部講師に求められること、に若干迷いはあるよね。学校は外部から呼ぶ＝子どもたちが楽しくないと、あるいは見栄えが良いほうが、とか考えるんだろうか。外部講師を雇ってまで、子どもたちが苦しい難しいっていう思いをするのは違うと思うが、楽しいばかりを優先してもなって思う。とはいえ、結局のところは学びが得られれば何でもいいのかな。
250131,2025/01/31,😊,華金だった！,これを書いてるのは2/2。バタバタでかけなかったけど、ジャーナリングや日記は遡って書くのは難しいね。タスクリストとかであればいいけど、その時の感情は日が経つと薄れてくるので、そのときに書かないとなー。,,
250201,2025/02/01,😌,アニメ、ラノベをたくさん楽しんだ！こういう日があってもいい！（こういう日ばっかりな気もするけど）,本日は子供向けのプログラミングクラブ。普段やらないUnityをやりたいということで前日から準備。Cloudにデータを保存してたみたいだけど、Unityのバージョンが合わず読み込めなかった。そのあたりはこっちも知見がないので、対応できない。,続き。Unityは久しぶりにやったので、忘れてることもたくさん。十分なサポートはできなかった。でも自分で学ぶっていう場なので、やったことないことを頼られてもなーって思う。さて、今後に向けてUnityやRobloxを学んでおくべきか悩む。（自分自身としては他のことを勉強したい・・）,
250202,2025/02/02,😊,ユーザー目線がわかった気がする。自分が作った商品のリコールが届いて。,ジャーナリングにMonthlyを追加しようとしてできなかった。でもやろうとしてことを褒めよう。,午前中にタスクを終わらせるとかなり一日の充実度が高い。,
250203,2025/02/03,😣,雪の天気予報。２月だから当たり前といえばそうだけど、１月が暖かかったから体調を崩さないようにせねば。,水曜日の講座の準備をしないとなーって思って、まったく手をつけていなかった。前日にバタバタは嫌いだけど、最近はいつも直前に慌てている。そう思うと、しっかりとそれをタスクにしておくのがいいのだろうか。Weeklyジャーナルでそのあたりをしっかりとタスクにするか。,かそつーの確定申告が終わってない。やばいやらなければ。今年度は取引のたびにちゃんと記録しようと思うけど、毎年そう思っている気がする。,家事をやっていたら、始業開始が９：３０になってしまった。もう少し朝の家事を効率的にやりたいが、手を抜くこともできず。
250204,2025/02/04,😊,１日教育だった。やっぱり自分が講師やってる時間の方が楽しいし、時間はあっという間に過ぎていくね。,明日の中学校への出張について資料を確認した。どこまで指摘するか、何を褒めるべきか、若干迷っている部分はある。まずは褒めて、あとはそれってどういうこと？みたいな感じの問いにしようか。,本業でのセミナー講師を担当。何度もやっている講座なので、特に問題なし。もう少し上手く話せたかなーって思うけど、まああのくらいで良いだろう。,午後は今度は受講側。まあ、あれはあれで良いだろう。
250205,2025/02/05,😊,久しぶりにAppleMusicでハナレグミをきいた。やっぱり良い。,有休を午後休にして早朝に本業をちょろっと。こういう自由な働き方は良い。職制だからできることだけど,中学校でアントレプレナーシップ研修の発表会を聴講した。中学生っていうことと、キャリア教育の一部って考えれば十分な内容。でもどうしても経営コンサルタントとしての視点で厳しめの判定にはなるよね。というか、どれも事業化は難しいと感じたな。,最近はAIラボのセミナーに出れていない。ちょうど家事をしている時間だから。ニンダオのゲーム大会も同様。耳専っていうのもそれはそれでいいな。
250206,2025/02/06,😌,音声配信のテーマに最近ちょっと困ってる,決断。やはり金額的な部分の負担が大きそうだと感じたので、中止とすることに。,さてそろそろ副業で本気を出さないと。結局会社メンバには何も連絡できず。,筋トレしながらの動画視聴は最高。時間を忘れてトレーニングできず。次回もそれにする。
250207,2025/02/07,😊,ゲームナイトに参加。海外プロジェクトだから、ナイトっていっても朝だけどね。,無理はしないのが一番だと思う。罪悪感がないわけではないけど、あれもこれもっていうのは疲れるし苦しくなるし。できるときにできることをやれば良い。,クラファンも経費に参入できるっていうことを初めて知った。広告宣伝の意味合いが強い場合は広告宣伝費。まずはこの路線で行ってみようかな。,
250208,2025/02/08,😌,,だらーっとした日があってもいいな。本読んでアニメ見て。そういう週末があってもいい。,,
250209,2025/02/09,😊,CNPトレカのプロキシカードを作り始めた。,特に何もしない週末だった。ゲームしてアニメみて小説読んで。こういう週末もいいとは思うけど、何もしていないことで焦る気持ちもある。何もしていないから何かができるわけではないけど、なぜか焦る。,本業を全力でやってないのに副業でうまくいくわけではないというのを見た。確かにそうだと思う。本業で気持ちが落ちたところから、副業に対する張り合いもなくなってしまったから。どっちかを頑張って、どっちかがらうまくいくっていうことはないんだろうなと思う。,
250210,2025/02/10,😊,国府宮はだか祭りだった。なぜ寒いのにあの格好ができるのか不思議。,UdemyのAIライティング講座を受講した。AIでここまでできるなんて。。提供されたプロンプトを使えば、「読める」記事は掛ける。もともとの文章能力が低い人は絶対にAIを使ってライディングした方がよい。かなり有益な講座だったので、毎週１記事書いて、Noteにアップしたいと思う。,AIのプロンプトで情報を蓄積する、という技術を学んだ。基本的にはAIとの対話のやり取りで壁打ちのように順番に段階を踏んで深ぼればいいが、情報を蓄積することでよりほしい情報につながる回答を生成してもらえるかもしれないと感じた。これは新しい発見。,INPUTを今日は１つ実施したわけだけど、それ１つでかなりの充実感が得られた。やっぱりINPUTは良い。なんでもいいので、毎日１つINPUTを意識していきたい。
250211,2025/02/11,😊,有休取った！消化される分はゼロ日になった。いい休みだった,ショウさんのAIライティング講座の２つ目を受講した。時間の関係で全部はまだできてないけど、学んでるっていう感じがして非常に楽しい。やはりINPUTがあった方が、気持ち的には良い。もともと勉強することが好きだったからかもしれない。遊びの時間は楽しいけど、何かむなしい気もしてたし、毎日INPUTを心掛けたい。,ショウさん講座でいろんなプロンプトが紹介されてる。たとえば自分でブログ記事を書く場合には、どの順番でやるかっていうのをまとめた方がいいかも。それをGPTSとかProjectsに記憶してもいいかも。手順用プロンプトを作ってみる、とか。,CNPランドの探検ツアーに参加した。みんなでクエストをクリアしたけど、こうやってゲームの中で遊ぶのは楽しい。ゲーミフィケーションが楽しいのも分かる。
250212,2025/02/12,😊,久しぶりにセミナーにちゃんと出ることができてよかった。あとメイプルストーリーのワールドリープもできてよかった。,AIラボのセミナーテーマでAI検索サービスを取り扱った。いろんな検索サービスの比較の結果、やはりFeloがよさそう。UIも使いやすいし、検索結果の妥当性も問題なさそう。いろんなサービスに目移りしそうだが、しばらくはFeloを使い倒してみる。,UdemyのAIライティング講座、２つ目完了。Claudeを使った実践的な内容で有意義であった。引き続き週に１本ずつブログを書いていこうと思う。ブログといってもNote記事だが、ここはWordpressにすべきか考えねば。,Udemy講座で学んだ情報を蓄積するプロンプトを音声配信の原稿を作るProjectsに組み込んだ。AIによって自己解析してくれるとは言いつつ、プログラミングのような自由度はないなと感じた。何度か試してみる必要はある。
240213,2025/02/13,😊,久しぶりにYOUTUBEで動画を見た。たまにはこういう時間もいい。,SNS投稿用のキャラクタを考えていた。おえんちゃんをベースに猫耳をなくしたキャラクター。ショウさんのようにレインボーの髪形とかインパクトある方が良いのかなとか思ったけど、まずはここから。,海外のゲームナイトに参加。同時翻訳はしてるけど、基本何言ってるかわからないから雰囲気で楽しんでる。雰囲気大事。でも事前申し込みのバトルは様子が分からず申し込まなかった。上手な人ばかりなので、次回も参加するかは悩む。,
250214,2025/02/14,😌,また小説を読んで時間を過ごした。どんな時間の使い方が有意義なのか。,早朝から海外ゲームプロジェクトのゲームナイトに参加。ナイトといいつつ、現地側も昼っぽいが、そういう呼び方をするらしい。参加するか迷ったけど、こういうのは参加するとなんだかんだで楽しい。参加してよかった。ラッフルにも当たったしね。,もの補助の事業化状況報告で追加指示がきたが、毎回採択後の追加依頼に疑問しかない。採択までで報酬が支払われているため、この追加依頼は無報酬とも言える。付き合いっていうだけの理由でやる仕事。早々に片付けて自分の時間を確保したい。,
250215,2025/02/15,😌,猫ちゃんが避妊手術で入院中。いらずらっこがいないとちょっと寂しい。,久しぶりに補助金関連の仕事をやった。無償での対応に近いからモチベーションはないが、久しぶりにやると良いものだとちょっと思った。ちょっと。ただ事務的な意味（EXCELを使うという意味）では良いと思ったが、仕事として考えると、やりたくはないかな。,,
250216,2025/02/16,😌,猫ちゃん、入院から帰ってきた。よかったよかった。,イラスト生成用のプロンプトとモデルを試してみた。モデルによって、目の作り方や色の鮮やかさが違う。あと”jitome”のような特殊なプロンプトは生成できるモデルと生成できないモデルがある。なので、要はいろいろあって何を使っていいのか迷うということが分かった。,,
250217,2025/02/17,😌,猫ちゃんとじゃれあった。楽しかった。,明日こそ、やらないといけないことをやる。CoderDojoのリマインド、１９日のセミナーの確認、DYMの仮想通貨確定申告。これを明日こそやる。,,
250218,2025/02/18,😊,次は何のアニメを見ようかな。,前日やれなかったことを一気にやった。やっぱりタスクを消化するのは楽しい。ゲームや遊びも楽しいけど、ミッションやタスクを行うのも楽しいし、ちょっと貢献してるって思えるのが良い。,ドウジョウ関連のアナウンス完了。そういえばマイクラカップのクラファンの応援した。来年度も頑張って運営してほしい。,仮想通貨の確定申告分のうち、ウォレット関連の取引データの整理を始めた。ぜんぜん合わない。今年分はもう少し何とかスムーズにやりたい。。。
250219,2025/02/19,😣,断るって難しいなー。,補助金の仕事を受けてしまった。金銭的にはどんどん受けたほうが良いんだけど、辛いのがわかってるから辛い。そして本当は断りたかったんだけど（せめて、前の案件の報酬が確定してからにしたかった。気分的に）断るっていうのが非常に難しい。いつもそうだけど、そこをはっきりと断る勇気がほしい。,補助金案件が入ってくるとそれに時間が取られるので、いままで以上にタスクを効率的にこなしていかないと。まずは確定申告、補助金の情報が入ってくる前に終わらせたい。あとは、チラシ印刷の依頼と、今回の補助金の公募要領を読み込まないと。,
250220,2025/02/20,😌,明日はいろいろとやりたい。・補助金の公募容量を読む・仮装通貨確定申告のETHチェーン以外の準備を終わらせたい。,昨日の補助金の案件は、正式に受けることとなった。ただしヒアリングはクライアントに任せて、こっちは書類作成のみ。ヒアリングした方が書きやすいような気もするし、お客さんとの接点を作りたくないっていう気持ちもあるし。久しぶりの書類作成のみ。がんばろ。,ラクスルを使ったチラシ印刷。無事に入稿完了。特に難しいことはなかったな。15分くらいで終わるし、ずっと放置してた時間の方がもったいなかった。思ったときにすぐやった方がいいと改めて感じた。,
250221,2025/02/21,😊,仕事・ゲーム・副業と忙しくなってきた。精神的に弱い部分が出なければいいな。,補助金業務について。省力化補助金の公募要領を確認した。ほぼもの補助だが、数値計算がすこし面倒な感じがある。そのあたりは使いまわせるシートを作成したい。あとClaudeにて事業計画書を作ってもらうということを試した。思った通りかなりいい。ただしClaudeのチャットの行数に限界があるため、その工夫が必要になってくる。Projectとするか、ショウさんの講座のように部分部分で区切ってチャットを分けるか。,本日も相変わらず仮装通貨の確定申告の準備が進まず。というかやらなかったな。。明日はETH以外の取引データのまとめをやりきる絶対。,PlanetAtmosのゲームナイトに参加。アーりーモーニングだったけど。参加すること自体には慣れたので、あとはコメントとかでもっと盛り上げたい。
250222,2025/02/22,😌,猫の日だった。最近は夜寝るときに布団に入ってきてくれるので暖かくて良き。,仮想通貨の確定申告データの取得も終わり、昨年の税金が確定した。昨年の２倍・・・支払うお金をどう見繕うか考えないと。,確定申告準備の時間を減らすためには、やはり日々の記帳が必要。時間の削減っていうこともそうだけど、常に収支を把握するために、損益の確認をしておくほうが、税金的にもきっといいはず。,省力化補助金、すこしずつ輪郭がはっきりしてきた。まずは骨子を作成したい。
250223,2025/02/23,😊,週末が終わってしまったなー。そういえば、あまりゲームをやらない週末だった。これではいけない！,ドウジョウを開催。参加者多数だったが、メンターさんの協力のお陰で無事に完了できた。本当は開催レポを当日中に作りたかったができなかった。月曜日中に作成する。あと、参加者のモラルを上げたいなと思う。お金を貰っていないメンバで運営しているので、妨げになるようなことはやめてほしい。,仮想通貨、25年のウォレットの取引データをまとめたいと思っていたができず。これも月曜日中のやることタスクにする。,省力化補助金、たいぶ輪郭が見えてきた。申請書が公開されたので、数字のマジックを行う必要があるが、信憑性のない数字ではダメなので、そのあたりの塩梅が難しそう。ここはAIさんに活躍してもらうところだな。
250224,2025/02/24,😊,良き時間の使い方ができた１日だったと思う。少し小説を読む時間を減らしたのがよかったか。,省力化補助金、Claudeに参考様式や参考記入ガイドを新たに入力。「事業計画書作って」の指示での精度や完成度がすごく高くなった。Wordの文章やEXCELのセル内容も完ぺきに読み込んでいるみたいで、優秀すぎる。明日は事業計画書を一度全部を埋めてみる。,Claudeの入力データについて、機密の関係上、学習に用いられないことが分かった。安心してどんどんとデータを食わせることができる。,来年の確定申告に向けて、仮装通貨の取引データの現時点までのまとめが完了した。今後は週１のペースで取引をまとめていく。ただ、やはりチェーンが多くなるのは大変なので、絞っていきたい。ETH、POL、AVAX、BASE、Arbitrumくらいか。あとSOLチェーン。
250225,2025/02/25,😊,夜眠れていないからか、偏頭痛が辛いな。,補助金の事業計画書作成。AIを活用して作成。一通り全体を作ってみたが、やはり精度という点では人間による手直しは必要。でもその手直しもAIに指示して作ってもらう。徐々に良い文章になってきている気がする。,AIによって文章を作るのは良いが、どうしても制限に引っかかってしまう。文章を区切って生成させるなど、使うための工夫は必要だと感じた。,仮想通貨、やはりハイリスク・ハイリターンだ。というか、ハイリスクしかないね。
250226,2025/02/26,😣,毎日ちゃんと書こう、補助金もジャーナリングも。,補助金その１は、図や表を挿入し、事業計画書の形を整え始めている。AIで作った文章を下に作っているが、やはり違和感はある。どうしても。あとは、それどこから持ってきたのっていう情報もあるので、問われたときに答えられない。でも自分でまっさらから作るよりは断然早いんだけど、でも納得のいくものにするには、やっぱり自分の目を入れないといけなさそう。,補助金その２を受けてしまった。お金的には受けたほうがいいんだろうけど、補助金自体も博打みたいなもんだしなー。あと時間的にはあるはず。でもそのせいで、またプレッシャーが上がってきた。逃げたくなる気持ちがいっぱい。,
250227,2025/02/27,😌,休むことも必要。,補助金、小休止の日。眠れなくなったのもあり、この日は何もしない日にした。やっておけばよかったと後悔するだろうなと思いつつ。明日はその１その２を日中に一通り作りたい。,,
250228,2025/02/28,😣,いまからゲームやるか悩む（眠たい）,補助金その１、ちょっと焦る。時間が思うように確保されない。というか心の問題で逃げ出したい衝動に駆られるため、時間確保できてない。家事やらにも時間が取られ思うようにできていない。まずは本日は１ページ分できたので、明日はその１その２を作りきりたい。,補助金その２、情報提供を受けた。ただし情報が出てこないので、創作が必要。でもその場合だからAIが活きてくるかも。ちょっと楽しみ。,そういえば昨日本業の面談。小康状態であることを伝えた。特筆すべきことは特にない。
250301,2025/03/01,😣,なんかモチベーション上がらないな。それを理由にするのは良く無いけど、でもそれが作業に影響する。何かテンション上がることないかなー。,補助金その１、訳が分からなくなってきた。AIを使いすぎなのか、モチベ低下で集中できずに進んでいないのか。AIが作ってくれてるから、文脈の前後関係は完璧。でも採択される気がしない。やはり人間の手による手直しは大事なのか。,補助金その２、アウトラインを顧客と共有することで合意。必要な情報をAIに突っ込んだら、あっという間にアウトライン完成。ここまでをAIにしてあとは人間の手作業が良いのか。,
250302,2025/03/02,😊,プロフィール写真撮影。七五三の子供のようにたくさん褒められた。恥ずかしい。。,補助金その１、明日打ち合わせかな。骨子提出により、追加ヒアリングが発生する模様。ただ、そのヒアリングをやりたくないから事業計画書の作成のみということにしたんだけどな。これはたぶん無償だろうしな。いやだいやだ。,補助金その２、ラフ版を作って提出。全編AI。これを基に作り進めていくが、補聴器業界は全く分からず、先方の意見無しに作り進めてもなーという感じ。,
250303,2025/03/03,😌,追加ヒアリングが憂鬱だった,補助金その１、翌日のお客さんとの追加ヒアリングに向けて資料をまとめる。AIを使っているからか、あんまり頭に入ってきていないのも事実。いい面もあれば悪い面もあるのかなー。,補助金その２、進展なし。クライアントにはラフ版を提出。回答が来るまでは補助金その１に注力するか。クライアント的にもその方がいいな。,確定申告完了。やっぱり計算方法に納得がいってない。利益５万で税金が１４万って、どういうことだろうか。来年は一度手計算してみたほうがいいな。
250304,2025/03/04,😊,ゆるりゆるりと。,補助金その１、追加ヒアリング。始まる前は異常なくらいに緊張した。過去のトラウマがあるかもしれないな。克服のためには、数をこなすのが一番かな。,補助金その２、特に音沙汰なく。明日連絡する。,
250305,2025/03/05,😊,補助金やらねば。。。,補助金印刷会社、（その３）を書いてみる。書いてみると分かることがあるし、追加で聞かなければならないことも把握できた。あと機械メーカーにもメールした。早く返答がほしい。そういえば設備合計5000万円くらいになるといってたな。新しい見積書を貰ってもらわないと。,補助金補聴器会社、音沙汰なく。とりあえずはその３でも書いてみようかな。,少額減価償却費の計上について、事務局に問い合わせてみた。こちらも回答を早くほしい。
250306,2025/03/06,😊,Twitchでゲーム画面を配信してる！声は出してないけど、ちょっと前まででは考えられないことをやってる！,補助金印刷会社、その１その２の大項目２まで書いた。明日には２以降も書きたい。大項目２と３を書き上げる。ただし、導入システムが定まらないのはなー。計算とかやり直しになるし困った。あと文章が多いから、書き上げたあとで８０％くらいにしようかな。,補助金補聴器、音沙汰なし。待ちだなー。,
250307,2025/03/07,😌,こういう追い詰められた時に逃げたくなるよね〜,補助金印刷会社、今日は何も手を付けず。やばいやばい。週末で必ず仕上げる。,補助金補聴器、音沙汰なく。オーダーメイドっていう点をどこで出すか迷ってるらしい,
250308,2025/03/08,😣,ダラダラしてしまった…,補助金印刷会社、やっばい進められなかった。日曜には必ずその１その２を終わらせる。AIを使うとやはり冗長な部分が出てくるなー。,補助金補聴器、まったく進展なく。企業さんからの情報待ち。,明日、ドウジョウのアナウンスをする。
